route_number,origin,destination,stop_sequence,stop_name
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),6,Aiginia
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),7,Alu Godam
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),8,Patrapada
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),9,Alu Godam 1
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),10,Aiginia 1
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),11,Kolathia
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),12,Khandagiri Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),13,Jagannath Temple
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),14,Jagamara
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),15,ITER College
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),16,Gandamunda
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),17,Kala Bhoomi
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),18,Madhusudan Park
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),19,Housing Board Colony
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),20,Pokhariput
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),21,Sundarpada Hata
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),22,Lingaraj Station
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),23,Ekamra College
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),24,Bhimatangi
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),25,Poonama Flyover
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),26,Palaspalli
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),27,Naveen Nivas
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),28,Old Airport Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),29,Forest Park
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),30,Sishu Bhawan Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),31,Bapuji Nagar
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),32,Rajmahal Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),33,Ashok Nagar
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),34,Master Canteen
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),35,Bhubaneswar Rly. Stn.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),36,Master Canteen (Janpath)
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),37,Sriya Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),38,Ram Mandir
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),39,Satya Nagar Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),40,Satya Nagar
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),41,Maharshi College Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),42,Rupali Square
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),43,RD Women's College
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),44,Vani Vihar Sq.
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),45,Satsangha Vihar
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),46,VSS Nagar Road
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),47,PNT Colony
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),48,VSS Nagar
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),49,VSS Nagar Market
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),50,DL Colony
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),51,Dhirikuti Sahi
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),52,Mancheswar Station
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),53,Rangamatia Uparasahi
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),54,Harapriya Enclave
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),55,Ranganath Mandir
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),56,DHPL Sahoo Residency
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),57,Gadakana Village
25,Dumuduma (Ranasinghpur),Mancheswar (Rangamatia),58,Gadakana Yatra Padia
26,Dumduma (Jadupur),Rokat (REC),1,Rajdhani Engg. Collage
26,Dumduma (Jadupur),Rokat (REC),2,Omm Vihar
26,Dumduma (Jadupur),Rokat (REC),3,Bhotapada Sq.
26,Dumduma (Jadupur),Rokat (REC),4,Mancheswar Stn. Back Gate
26,Dumduma (Jadupur),Rokat (REC),5,VSS Nagar Market
26,Dumduma (Jadupur),Rokat (REC),6,ARSS
26,Dumduma (Jadupur),Rokat (REC),7,Chakeisiani
26,Dumduma (Jadupur),Rokat (REC),8,Mancheswar Rly. Stn. Road
26,Dumduma (Jadupur),Rokat (REC),9,CIME College
26,Dumduma (Jadupur),Rokat (REC),10,Idco Tower
26,Dumduma (Jadupur),Rokat (REC),11,SBI Chhak
26,Dumduma (Jadupur),Rokat (REC),12,Mancheswar P.S.
26,Dumduma (Jadupur),Rokat (REC),13,Rasulgarh Square
26,Dumduma (Jadupur),Rokat (REC),14,VSS Nagar Road
26,Dumduma (Jadupur),Rokat (REC),15,Satsangha Vihar
26,Dumduma (Jadupur),Rokat (REC),16,Vani Vihar Square
26,Dumduma (Jadupur),Rokat (REC),17,RD Womens College
26,Dumduma (Jadupur),Rokat (REC),18,Rupali Square
26,Dumduma (Jadupur),Rokat (REC),19,Maharshi College Square
26,Dumduma (Jadupur),Rokat (REC),20,Satya Nagar
26,Dumduma (Jadupur),Rokat (REC),21,Satya Nagar Square
26,Dumduma (Jadupur),Rokat (REC),22,Ram Mandir
26,Dumduma (Jadupur),Rokat (REC),23,Sriya Square
26,Dumduma (Jadupur),Rokat (REC),24,Master Canteen (Janpath)
26,Dumduma (Jadupur),Rokat (REC),25,Bhubaneswar Rly. Stn.
26,Dumduma (Jadupur),Rokat (REC),26,Master Canteen
26,Dumduma (Jadupur),Rokat (REC),27,Ashok Nagar
26,Dumduma (Jadupur),Rokat (REC),28,Raj Mahal Sq.
26,Dumduma (Jadupur),Rokat (REC),29,Unit 1 Haat
26,Dumduma (Jadupur),Rokat (REC),30,AG Square
26,Dumduma (Jadupur),Rokat (REC),31,Capital Hospital
26,Dumduma (Jadupur),Rokat (REC),32,New Airport Square
26,Dumduma (Jadupur),Rokat (REC),33,Unit 6
26,Dumduma (Jadupur),Rokat (REC),34,Ganganagar Square
26,Dumduma (Jadupur),Rokat (REC),35,OUAT College
26,Dumduma (Jadupur),Rokat (REC),36,QUAT Square
26,Dumduma (Jadupur),Rokat (REC),37,City Womens College
26,Dumduma (Jadupur),Rokat (REC),38,Krushi Vihar Sq.
26,Dumduma (Jadupur),Rokat (REC),39,Soubhagya Nagar
26,Dumduma (Jadupur),Rokat (REC),40,Soubhagya Nagar Phase 2
26,Dumduma (Jadupur),Rokat (REC),41,Baramunda Shiva Temple
26,Dumduma (Jadupur),Rokat (REC),42,Dharma Vihar Road
26,Dumduma (Jadupur),Rokat (REC),43,Krishna Garden
26,Dumduma (Jadupur),Rokat (REC),44,Mallick Complex
26,Dumduma (Jadupur),Rokat (REC),45,Jagamara
26,Dumduma (Jadupur),Rokat (REC),46,Jagannath Temple
26,Dumduma (Jadupur),Rokat (REC),47,Khandagiri Square
26,Dumduma (Jadupur),Rokat (REC),48,Kolathia
26,Dumduma (Jadupur),Rokat (REC),49,Aiginia
26,Dumduma (Jadupur),Rokat (REC),50,Cosmopolis
26,Dumduma (Jadupur),Rokat (REC),51,Arya Village
26,Dumduma (Jadupur),Rokat (REC),52,Dumduma Phase-5
26,Dumduma (Jadupur),Rokat (REC),53,Dumduma Square
26,Dumduma (Jadupur),Rokat (REC),54,Dumduma Phase-4
26,Dumduma (Jadupur),Rokat (REC),55,Dumduma Phase-3
26,Dumduma (Jadupur),Rokat (REC),56,Kids Hospital
26,Dumduma (Jadupur),Rokat (REC),57,Dumduma
26,Dumduma (Jadupur),Rokat (REC),58,Dumduma H. Board Colony
26,Dumduma (Jadupur),Rokat (REC),59,Jadupur
27,Bhubaneswar Rly. Stn.,Bhagwanpur,1,Bhubaneswar Railway Station
27,Bhubaneswar Rly. Stn.,Bhagwanpur,2,Master Canteen
27,Bhubaneswar Rly. Stn.,Bhagwanpur,3,Ashok Nagar
27,Bhubaneswar Rly. Stn.,Bhagwanpur,4,Raj Mahal Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,5,Unit 1 Haat
27,Bhubaneswar Rly. Stn.,Bhagwanpur,6,AG Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,7,Bhubaneswar Club
27,Bhubaneswar Rly. Stn.,Bhagwanpur,8,Governor House Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,9,Power House Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,10,Kalyani Market
27,Bhubaneswar Rly. Stn.,Bhagwanpur,11,Unit-8 Colony
27,Bhubaneswar Rly. Stn.,Bhagwanpur,12,QUAT Guest House
27,Bhubaneswar Rly. Stn.,Bhagwanpur,13,CBI Office
27,Bhubaneswar Rly. Stn.,Bhagwanpur,14,Jaleswar Temple
27,Bhubaneswar Rly. Stn.,Bhagwanpur,15,Delta Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,16,Vivekanand Hospital
27,Bhubaneswar Rly. Stn.,Bhagwanpur,17,Fire Station Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,18,Rajdhani College
27,Bhubaneswar Rly. Stn.,Bhagwanpur,19,Baramunda
27,Bhubaneswar Rly. Stn.,Bhagwanpur,20,Baramunda BSABT
27,Bhubaneswar Rly. Stn.,Bhagwanpur,21,Khandagiri Bypass
27,Bhubaneswar Rly. Stn.,Bhagwanpur,22,Khandagiri Square
27,Bhubaneswar Rly. Stn.,Bhagwanpur,23,Kolathia 1
27,Bhubaneswar Rly. Stn.,Bhagwanpur,24,Aiginia 1
27,Bhubaneswar Rly. Stn.,Bhagwanpur,25,Kids Hospital Road
27,Bhubaneswar Rly. Stn.,Bhagwanpur,26,Alu Godam 1
27,Bhubaneswar Rly. Stn.,Bhagwanpur,27,Police Academy
27,Bhubaneswar Rly. Stn.,Bhagwanpur,28,AIIMS
27,Bhubaneswar Rly. Stn.,Bhagwanpur,29,Panchayat Office (Ransinghapur)
27,Bhubaneswar Rly. Stn.,Bhagwanpur,30,Sijua Village Road
27,Bhubaneswar Rly. Stn.,Bhagwanpur,31,Patrapada Village Road
27,Bhubaneswar Rly. Stn.,Bhagwanpur,32,Santosi Maa Temple
27,Bhubaneswar Rly. Stn.,Bhagwanpur,33,Bhagawanpur
28,Bhubaneswar Rly. Stn.,Trident Galaxy,1,Bhubaneswar Railway Station
28,Bhubaneswar Rly. Stn.,Trident Galaxy,2,Master Canteen
28,Bhubaneswar Rly. Stn.,Trident Galaxy,3,Ashok Nagar
28,Bhubaneswar Rly. Stn.,Trident Galaxy,4,Raj Mahal Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,5,Unit 1 Haat
28,Bhubaneswar Rly. Stn.,Trident Galaxy,6,AG Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,7,Nautala
28,Bhubaneswar Rly. Stn.,Trident Galaxy,8,Power House Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,9,Kalyani Market
28,Bhubaneswar Rly. Stn.,Trident Galaxy,10,Unit-8 Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,11,Passport Office
28,Bhubaneswar Rly. Stn.,Trident Galaxy,12,CPWD Office
28,Bhubaneswar Rly. Stn.,Trident Galaxy,13,CRPF Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,14,Gopabandhu Nagar
28,Bhubaneswar Rly. Stn.,Trident Galaxy,15,Fire Station Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,16,Rajdhani College
28,Bhubaneswar Rly. Stn.,Trident Galaxy,17,Baramunda BSABT
28,Bhubaneswar Rly. Stn.,Trident Galaxy,18,Khandagiri Bypass
28,Bhubaneswar Rly. Stn.,Trident Galaxy,19,Khandagiri Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,20,Kolathia
28,Bhubaneswar Rly. Stn.,Trident Galaxy,21,Jagannatha Temple (Kolathia)
28,Bhubaneswar Rly. Stn.,Trident Galaxy,22,Bank of Baroda (Kolathia)
28,Bhubaneswar Rly. Stn.,Trident Galaxy,23,Binayaka Enclave
28,Bhubaneswar Rly. Stn.,Trident Galaxy,24,Satya Sai Enclave
28,Bhubaneswar Rly. Stn.,Trident Galaxy,25,AMRI Hospital
28,Bhubaneswar Rly. Stn.,Trident Galaxy,26,Jayadev Vatika
28,Bhubaneswar Rly. Stn.,Trident Galaxy,27,Jayadev Vatika Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,28,Khandagiribari
28,Bhubaneswar Rly. Stn.,Trident Galaxy,29,Naka Gate
28,Bhubaneswar Rly. Stn.,Trident Galaxy,30,CET College
28,Bhubaneswar Rly. Stn.,Trident Galaxy,31,Valia Square
28,Bhubaneswar Rly. Stn.,Trident Galaxy,32,Ghatikia
28,Bhubaneswar Rly. Stn.,Trident Galaxy,33,K7 Kalyan Mandap
28,Bhubaneswar Rly. Stn.,Trident Galaxy,34,Kalinga Nagar
28,Bhubaneswar Rly. Stn.,Trident Galaxy,35,Paikarapur
28,Bhubaneswar Rly. Stn.,Trident Galaxy,36,Paikarapur Housing Colony
28,Bhubaneswar Rly. Stn.,Trident Galaxy,37,Trident Galaxy
29,Bhagwanpur,Sai Mandir,1,Bhagwanpur
29,Bhagwanpur,Sai Mandir,2,Kishor Club (Bhagwanpur)
29,Bhagwanpur,Sai Mandir,3,Balukenswar Temple
29,Bhagwanpur,Sai Mandir,4,Ram Mandira (Bhagwanpur)
29,Bhagwanpur,Sai Mandir,5,K9B
29,Bhagwanpur,Sai Mandir,6,Pal Bhaban Road
29,Bhagwanpur,Sai Mandir,7,Madan Mohan Market
29,Bhagwanpur,Sai Mandir,8,K9 Lane 4
29,Bhagwanpur,Sai Mandir,9,Kalinga Vihar Square
29,Bhagwanpur,Sai Mandir,10,K9
29,Bhagwanpur,Sai Mandir,11,Patrapada 1
29,Bhagwanpur,Sai Mandir,12,Alu Godam
29,Bhagwanpur,Sai Mandir,13,Kids Hospital Road
29,Bhagwanpur,Sai Mandir,14,Aiginia
29,Bhagwanpur,Sai Mandir,15,Kolathia
29,Bhagwanpur,Sai Mandir,16,Khandagiri Square
29,Bhagwanpur,Sai Mandir,17,Khandagiri Bypass
29,Bhagwanpur,Sai Mandir,18,Baramunda BSABT
29,Bhagwanpur,Sai Mandir,19,Baramunda
29,Bhagwanpur,Sai Mandir,20,Rajdhani College
29,Bhagwanpur,Sai Mandir,21,Fire Station Square
29,Bhagwanpur,Sai Mandir,22,Gopabandhu Nagar
29,Bhagwanpur,Sai Mandir,23,CRPF Square
29,Bhagwanpur,Sai Mandir,24,Nayapalli
29,Bhagwanpur,Sai Mandir,25,ISKCON Temple
29,Bhagwanpur,Sai Mandir,26,NABARD
29,Bhagwanpur,Sai Mandir,27,Jaydev Vihar Flyover
29,Bhagwanpur,Sai Mandir,28,IMMT
29,Bhagwanpur,Sai Mandir,29,Acharya Vihar Square
29,Bhagwanpur,Sai Mandir,30,Vani Vihar
29,Bhagwanpur,Sai Mandir,31,Vani Vihar Square
29,Bhagwanpur,Sai Mandir,32,Satsangha Vihar
29,Bhagwanpur,Sai Mandir,33,VSS Nagar Road
29,Bhagwanpur,Sai Mandir,34,Rasulgarh Square
29,Bhagwanpur,Sai Mandir,35,Rasulgarh Market
29,Bhagwanpur,Sai Mandir,36,Bomikhal
29,Bhagwanpur,Sai Mandir,37,Ekamra Talkies
29,Bhagwanpur,Sai Mandir,38,Jharpada
29,Bhagwanpur,Sai Mandir,39,Yatri Nivas
29,Bhagwanpur,Sai Mandir,40,Laxmi Sagar Square
29,Bhagwanpur,Sai Mandir,41,Old Station Bazaar (Rly. Stn.)
29,Bhagwanpur,Sai Mandir,42,Sabarsahi Lane
29,Bhagwanpur,Sai Mandir,43,RI Office
29,Bhagwanpur,Sai Mandir,44,BJEM School
29,Bhagwanpur,Sai Mandir,45,Biswanath Nagar
29,Bhagwanpur,Sai Mandir,46,Badagada Haat
29,Bhagwanpur,Sai Mandir,47,Badagada High School
29,Bhagwanpur,Sai Mandir,48,Badagada P.S.
29,Bhagwanpur,Sai Mandir,49,Panchu Pandav Caves
29,Bhagwanpur,Sai Mandir,50,BDA Park
29,Bhagwanpur,Sai Mandir,51,Badagada Brit Colony
29,Bhagwanpur,Sai Mandir,52,Megheswar Temple
29,Bhagwanpur,Sai Mandir,53,Sai Mandir
30,Bhubaneswar Rly. Stn.,Chatabar,1,Bhubaneswar Rly. Stn.
30,Bhubaneswar Rly. Stn.,Chatabar,2,Master Canteen
30,Bhubaneswar Rly. Stn.,Chatabar,3,Ashok Nagar
30,Bhubaneswar Rly. Stn.,Chatabar,4,Raj Mahal Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,5,Unit 1 Haat
30,Bhubaneswar Rly. Stn.,Chatabar,6,AG Square
30,Bhubaneswar Rly. Stn.,Chatabar,7,Bhubaneswar Club
30,Bhubaneswar Rly. Stn.,Chatabar,8,Governor House Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,9,Surya Nagar
30,Bhubaneswar Rly. Stn.,Chatabar,10,Gopabandhu Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,11,Siripur Market
30,Bhubaneswar Rly. Stn.,Chatabar,12,QUAT Square
30,Bhubaneswar Rly. Stn.,Chatabar,13,City Womens College
30,Bhubaneswar Rly. Stn.,Chatabar,14,Satabdi Nagar
30,Bhubaneswar Rly. Stn.,Chatabar,15,Delta Square
30,Bhubaneswar Rly. Stn.,Chatabar,16,Vivekanand Hospital
30,Bhubaneswar Rly. Stn.,Chatabar,17,Fire Station Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,18,CRPF KV
30,Bhubaneswar Rly. Stn.,Chatabar,19,Rental Colony
30,Bhubaneswar Rly. Stn.,Chatabar,20,Jagannath Vihar
30,Bhubaneswar Rly. Stn.,Chatabar,21,Agriculture Directorate
30,Bhubaneswar Rly. Stn.,Chatabar,22,Kalinga Studio Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,23,Ayurveda College
30,Bhubaneswar Rly. Stn.,Chatabar,24,Shyampur
30,Bhubaneswar Rly. Stn.,Chatabar,25,Sum Hospital
30,Bhubaneswar Rly. Stn.,Chatabar,26,Nuagan Square
30,Bhubaneswar Rly. Stn.,Chatabar,27,Malipada
30,Bhubaneswar Rly. Stn.,Chatabar,28,RI Paikarapur
30,Bhubaneswar Rly. Stn.,Chatabar,29,Gothapatna Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,30,IIIT Square
30,Bhubaneswar Rly. Stn.,Chatabar,31,NALCO Research Center
30,Bhubaneswar Rly. Stn.,Chatabar,32,IIIT
30,Bhubaneswar Rly. Stn.,Chatabar,33,STPI Square
30,Bhubaneswar Rly. Stn.,Chatabar,34,IIIT Square
30,Bhubaneswar Rly. Stn.,Chatabar,35,Paikarapur Road
30,Bhubaneswar Rly. Stn.,Chatabar,36,ROTI
30,Bhubaneswar Rly. Stn.,Chatabar,37,Tarini Temple (Ghangapatna)
30,Bhubaneswar Rly. Stn.,Chatabar,38,Ghangapatna Sq.
30,Bhubaneswar Rly. Stn.,Chatabar,39,Ablaze Homez
30,Bhubaneswar Rly. Stn.,Chatabar,40,Kateni
30,Bhubaneswar Rly. Stn.,Chatabar,41,Kantabada
30,Bhubaneswar Rly. Stn.,Chatabar,42,Sparsh Hospital (Kantabada)
30,Bhubaneswar Rly. Stn.,Chatabar,43,Kantabada
30,Bhubaneswar Rly. Stn.,Chatabar,44,Kateni
30,Bhubaneswar Rly. Stn.,Chatabar,45,Adurta Sishu Sadan
30,Bhubaneswar Rly. Stn.,Chatabar,46,Giringaput
30,Bhubaneswar Rly. Stn.,Chatabar,47,OPTCL Grid Sub Station
30,Bhubaneswar Rly. Stn.,Chatabar,48,Community Health Centre
30,Bhubaneswar Rly. Stn.,Chatabar,49,Mendhasal
30,Bhubaneswar Rly. Stn.,Chatabar,50,Biju Patnaik Open Air Ashram
30,Bhubaneswar Rly. Stn.,Chatabar,51,Chatabar
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,1,Bhubaneswar Railway Station
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,2,Master Canteen (Janpath)
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,3,Sriya Square
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,4,Ram Mandir
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,5,Odisha Blind Association
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,6,Toshali Bhawan
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,7,Yatri Nivas
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,8,Laxmi Sagar Square
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,9,Laxmi Sagar
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,10,Laxmi Sagar P.S
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,11,Jail Square
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,12,Ganesh Mandap
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,13,Santi Nagar
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,14,Jagannath Nagar Lane 3
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,15,Jagannath Nagar Lane 5
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,16,Jagannath Nagar Lane 7
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,17,Jagannath Nagar Lane 11
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,18,Modern School
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,19,GGP Colony Road
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,20,Pandara
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,21,Pandara Market
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,22,Hi-Tech Hospital
31,Bhubaneswar Rly. Stn.,Hi-Tech Hospital,23,Hi-Tech Hospital Square
32,Baramunda BSABT,Lingaraj Temple,1,Baramunda BSABT
32,Baramunda BSABT,Lingaraj Temple,2,Rajdhani College
32,Baramunda BSABT,Lingaraj Temple,3,Fire Station Square
32,Baramunda BSABT,Lingaraj Temple,4,Gopabandhu Nagar
32,Baramunda BSABT,Lingaraj Temple,5,CRPF Square
32,Baramunda BSABT,Lingaraj Temple,6,Nayapalli
32,Baramunda BSABT,Lingaraj Temple,7,ISKCON Temple
32,Baramunda BSABT,Lingaraj Temple,8,NABARD
32,Baramunda BSABT,Lingaraj Temple,9,Jaydev Vihar Flyover
32,Baramunda BSABT,Lingaraj Temple,10,IMMT
32,Baramunda BSABT,Lingaraj Temple,11,Acharya Vihar Square
32,Baramunda BSABT,Lingaraj Temple,12,Vani Vihar Square
32,Baramunda BSABT,Lingaraj Temple,13,RD Women's College
32,Baramunda BSABT,Lingaraj Temple,14,Rupali Square
32,Baramunda BSABT,Lingaraj Temple,15,Maharshi College Square
32,Baramunda BSABT,Lingaraj Temple,16,Satya Nagar
32,Baramunda BSABT,Lingaraj Temple,17,Satya Nagar Square
32,Baramunda BSABT,Lingaraj Temple,18,Ram Mandir
32,Baramunda BSABT,Lingaraj Temple,19,Sriya Square
32,Baramunda BSABT,Lingaraj Temple,20,Master Canteen (Janpath)
32,Baramunda BSABT,Lingaraj Temple,21,Bhubaneswar Rly. Stn.
32,Baramunda BSABT,Lingaraj Temple,22,Master Canteen
32,Baramunda BSABT,Lingaraj Temple,23,Ashok Nagar
32,Baramunda BSABT,Lingaraj Temple,24,Rajmahal Square
32,Baramunda BSABT,Lingaraj Temple,25,Kalpana Square
32,Baramunda BSABT,Lingaraj Temple,26,State Museum
32,Baramunda BSABT,Lingaraj Temple,27,BJB College
32,Baramunda BSABT,Lingaraj Temple,28,NCC Canteen
32,Baramunda BSABT,Lingaraj Temple,29,Shree Hospital
32,Baramunda BSABT,Lingaraj Temple,30,Ravi Talkies Square
32,Baramunda BSABT,Lingaraj Temple,31,Kedar Gouri Temple
32,Baramunda BSABT,Lingaraj Temple,32,Gouri Nagar
32,Baramunda BSABT,Lingaraj Temple,33,Lingaraj Temple Road
32,Baramunda BSABT,Lingaraj Temple,34,Mahavir Chowk
32,Baramunda BSABT,Lingaraj Temple,35,Samantarapur
32,Baramunda BSABT,Lingaraj Temple,36,Lingaraj Temple
33,Bhubaneswar Rly. Stn.,Pipili,1,Bhubaneswar Railway Station
33,Bhubaneswar Rly. Stn.,Pipili,2,Master Canteen
33,Bhubaneswar Rly. Stn.,Pipili,3,Ashok Nagar
33,Bhubaneswar Rly. Stn.,Pipili,4,Raj Mahal Square
33,Bhubaneswar Rly. Stn.,Pipili,5,Kalpana Square
33,Bhubaneswar Rly. Stn.,Pipili,6,State Museum
33,Bhubaneswar Rly. Stn.,Pipili,7,BJB College
33,Bhubaneswar Rly. Stn.,Pipili,8,NCC Canteen
33,Bhubaneswar Rly. Stn.,Pipili,9,Shree Hospital
33,Bhubaneswar Rly. Stn.,Pipili,10,Ravi Talkies
33,Bhubaneswar Rly. Stn.,Pipili,11,Kedar Gouri Temple
33,Bhubaneswar Rly. Stn.,Pipili,12,Gouri Nagar
33,Bhubaneswar Rly. Stn.,Pipili,13,Lingraj Temple Road
33,Bhubaneswar Rly. Stn.,Pipili,14,Mahavir Chowk
33,Bhubaneswar Rly. Stn.,Pipili,15,Samantarapur
33,Bhubaneswar Rly. Stn.,Pipili,16,Gangua Bridge
33,Bhubaneswar Rly. Stn.,Pipili,17,Nuagaon
33,Bhubaneswar Rly. Stn.,Pipili,18,Sishupalgarh
33,Bhubaneswar Rly. Stn.,Pipili,19,Lingipur
33,Bhubaneswar Rly. Stn.,Pipili,20,Sri Sri Borda Hospital
33,Bhubaneswar Rly. Stn.,Pipili,21,Nathapur
33,Bhubaneswar Rly. Stn.,Pipili,22,Dhauli Square
33,Bhubaneswar Rly. Stn.,Pipili,23,Bali Sahi
33,Bhubaneswar Rly. Stn.,Pipili,24,Uttara Square
33,Bhubaneswar Rly. Stn.,Pipili,25,CIFA
33,Bhubaneswar Rly. Stn.,Pipili,26,KEC College
33,Bhubaneswar Rly. Stn.,Pipili,27,Gudia Pokhari Square
33,Bhubaneswar Rly. Stn.,Pipili,28,Hi-Tech Heaven
33,Bhubaneswar Rly. Stn.,Pipili,29,Siula
33,Bhubaneswar Rly. Stn.,Pipili,30,Lordsway Apartment
33,Bhubaneswar Rly. Stn.,Pipili,31,Gobardhanpur
33,Bhubaneswar Rly. Stn.,Pipili,32,Jhinkirimal
33,Bhubaneswar Rly. Stn.,Pipili,33,Jaishpatna Chowk
33,Bhubaneswar Rly. Stn.,Pipili,34,Pipili Bypass
33,Bhubaneswar Rly. Stn.,Pipili,35,Pipili Over Bridge Square
33,Bhubaneswar Rly. Stn.,Pipili,36,Pipili P.S.
33,Bhubaneswar Rly. Stn.,Pipili,37,Pipili Market
33,Bhubaneswar Rly. Stn.,Pipili,38,Pipili Hospital
33,Bhubaneswar Rly. Stn.,Pipili,39,Pipili Court
